map,w1,w2,path_cost,runtime
map10,1.5,1.5,141.48097038856278,2.4138917922973633
map10,1.5,2.0,177.18302653586608,2.252048969268799
map10,2.0,1.5,141.97361107568207,2.336052656173706
map10,2.0,2.0,141.97361107568207,2.3711438179016113
map17,1.5,1.5,59.29594154601838,0.35422706604003906
map17,1.5,2.0,59.29594154601838,0.3534836769104004
map17,2.0,1.5,59.37436867076457,0.2632291316986084
map17,2.0,2.0,59.37436867076457,0.26377058029174805
map05,1.5,1.5,122.5165042944955,1.7619163990020752
map05,1.5,2.0,151.59545442950505,1.5772147178649902
map05,2.0,1.5,123.33757210636097,1.7738995552062988
map05,2.0,2.0,123.33757210636097,1.790565013885498
map43,1.5,1.5,76.39455262170046,0.5266749858856201
map43,1.5,2.0,76.39455262170046,0.5297760963439941
map43,2.0,1.5,76.39455262170046,0.27649664878845215
map43,2.0,2.0,76.39455262170046,0.2681732177734375
map36,1.5,1.5,86.28858223313766,0.7632572650909424
map36,1.5,2.0,131.09797974644664,0.7825682163238525
map36,2.0,1.5,86.28858223313766,0.6502270698547363
map36,2.0,2.0,86.28858223313766,0.6611487865447998
map09,1.5,1.5,123.1807178568686,1.877380132675171
map09,1.5,2.0,123.1807178568686,1.8456053733825684
map09,2.0,1.5,124.57285348059953,1.6848440170288086
map09,2.0,2.0,124.57285348059953,1.6690044403076172
map25,1.5,1.5,119.4809703885628,1.1636614799499512
map25,1.5,2.0,119.4809703885628,1.1493239402770996
map25,2.0,1.5,120.46625176280135,0.9915168285369873
map25,2.0,2.0,120.46625176280135,0.9542572498321533
map23,1.5,1.5,104.05813485483812,2.7942497730255127
map23,1.5,2.0,104.05813485483812,2.7951910495758057
map23,2.0,1.5,104.05813485483812,2.3304662704467773
map23,2.0,2.0,104.05813485483812,2.360150098800659
map44,1.5,1.5,117.89087296526006,1.0543220043182373
map44,1.5,2.0,117.89087296526006,0.43434882164001465
map44,2.0,1.5,114.69112549695424,1.0125653743743896
map44,2.0,2.0,119.54772721475244,0.8449075222015381
map16,1.5,1.5,86.91726188957803,0.9497835636138916
map16,1.5,2.0,122.02691193458116,0.6877331733703613
map16,2.0,1.5,86.91726188957803,0.5374164581298828
map16,2.0,2.0,86.91726188957803,0.5410482883453369
map03,1.5,1.5,107.64823227814082,1.051072597503662
map03,1.5,2.0,132.2253967444162,0.7135500907897949
map03,2.0,1.5,109.29036790187175,0.7031874656677246
map03,2.0,2.0,132.66295090390227,0.6234166622161865
map46,1.5,1.5,77.82995128834864,0.37991952896118164
map46,1.5,2.0,77.82995128834864,0.39785194396972656
map46,2.0,1.5,77.82995128834864,0.13098692893981934
map46,2.0,2.0,77.82995128834864,0.12992382049560547
map40,1.5,1.5,80.42462120245874,1.025996208190918
map40,1.5,2.0,80.42462120245874,1.0090959072113037
map40,2.0,1.5,81.7383297014435,0.7267379760742188
map40,2.0,2.0,81.7383297014435,0.7179806232452393
map30,1.5,1.5,97.85533905932736,1.1543333530426025
map30,1.5,2.0,106.91778489984125,1.1507859230041504
map30,2.0,1.5,97.85533905932736,0.91634202003479
map30,2.0,2.0,97.85533905932736,0.9379913806915283
map28,1.5,1.5,70.4423881554251,0.4669468402862549
map28,1.5,2.0,70.4423881554251,0.46169161796569824
map28,2.0,1.5,70.93502884254438,0.37636518478393555
map28,2.0,2.0,70.93502884254438,0.3611278533935547
map02,1.5,1.5,115.59797974644665,1.0385875701904297
map02,1.5,2.0,152.43250352560284,0.7002456188201904
map02,2.0,1.5,115.59797974644665,0.8355162143707275
map02,2.0,2.0,115.59797974644665,0.811229944229126
map07,1.5,1.5,54.28553390593274,0.43397951126098633
map07,1.5,2.0,54.28553390593274,0.4327728748321533
map07,2.0,1.5,54.61396103067892,0.2847738265991211
map07,2.0,2.0,54.61396103067892,0.28725290298461914
map01,1.5,1.5,61.48832970144352,0.41992735862731934
map01,1.5,2.0,61.48832970144352,0.42440223693847656
map01,2.0,1.5,61.48832970144352,0.20548200607299805
map01,2.0,2.0,61.48832970144352,0.2075815200805664
map13,1.5,1.5,83.4883297014435,1.095165729522705
map13,1.5,2.0,83.4883297014435,1.1058635711669922
map13,2.0,1.5,83.4883297014435,0.8542895317077637
map13,2.0,2.0,83.4883297014435,0.8548033237457275
map35,1.5,1.5,125.06828098979214,1.8973162174224854
map35,1.5,2.0,125.06828098979214,1.883835792541504
map35,2.0,1.5,125.23249455216524,1.7178304195404053
map35,2.0,2.0,125.23249455216524,1.7206957340240479
map04,1.5,1.5,50.53553390593274,0.3339817523956299
map04,1.5,2.0,50.53553390593274,0.3337891101837158
map04,2.0,1.5,50.86396103067892,0.2413952350616455
map04,2.0,2.0,50.86396103067892,0.2428297996520996
map22,1.5,1.5,125.14823227814078,1.9198980331420898
map22,1.5,2.0,167.48275605729697,1.7989861965179443
map22,2.0,1.5,128.76093065034883,1.9660472869873047
map22,2.0,2.0,128.76093065034883,1.9510207176208496
map21,1.5,1.5,82.53211575462399,0.6715331077575684
map21,1.5,2.0,127.29036790187175,0.6000778675079346
map21,2.0,1.5,82.53211575462399,0.49308228492736816
map21,2.0,2.0,82.53211575462399,0.49338531494140625
map20,1.5,1.5,101.35965004500312,2.212350368499756
map20,1.5,2.0,101.35965004500312,2.240201711654663
map20,2.0,1.5,101.6880771697493,1.6385202407836914
