map,w1,w2,path_cost,runtime
map14,2.0,1.5,142.38046532517444,2.0583927631378174
map14,2.0,2.0,142.38046532517444,2.538638114929199
map39,1.5,1.5,146.55419369326617,2.10123610496521
map39,1.5,2.0,171.37972567696707,1.4491512775421143
map39,2.0,1.5,148.31612549695427,1.983793020248413
map39,2.0,2.0,148.31612549695427,1.9779446125030518
map26,1.5,1.5,94.3602813742386,0.7286078929901123
map26,1.5,2.0,94.3602813742386,0.742027997970581
map26,2.0,1.5,94.3602813742386,0.4881594181060791
map26,2.0,2.0,94.3602813742386,0.48441004753112793
map12,1.5,1.5,149.67335854398794,1.4646227359771729
map12,1.5,2.0,217.5071426749366,0.9588871002197266
map12,2.0,1.5,149.67335854398794,1.340839147567749
map12,2.0,2.0,149.67335854398794,1.3410553932189941
map48,1.5,1.5,92.94696064623253,0.8867762088775635
map48,1.5,2.0,92.94696064623253,0.8897955417633057
map48,2.0,1.5,92.94696064623253,0.4483480453491211
map48,2.0,2.0,92.94696064623253,0.45120835304260254
map37,1.5,1.5,94.8893488016576,0.6897985935211182
map37,1.5,2.0,94.8893488016576,0.6921210289001465
map37,2.0,1.5,94.8893488016576,0.3192763328552246
map37,2.0,2.0,94.8893488016576,0.31771087646484375
map45,1.5,1.5,111.0533008588991,1.7912299633026123
map45,1.5,2.0,111.0533008588991,1.8089730739593506
map45,2.0,1.5,111.0533008588991,1.0040607452392578
map45,2.0,2.0,111.0533008588991,1.0109004974365234
map34,1.5,1.5,143.4104255869606,1.5838589668273926
map34,1.5,2.0,143.4104255869606,0.7303247451782227
map34,2.0,1.5,120.86879502661793,1.2952730655670166
map34,2.0,2.0,146.91778489984128,1.4752871990203857
map31,1.5,1.5,99.39518395093586,0.7981421947479248
map31,1.5,2.0,115.94112549695424,0.39201927185058594
map31,2.0,1.5,99.39518395093586,0.6571559906005859
map31,2.0,2.0,99.39518395093586,0.6576540470123291
map19,1.5,1.5,112.59924240491749,1.3447630405426025
map19,1.5,2.0,112.59924240491749,1.3493931293487549
map19,2.0,1.5,112.59924240491749,1.1433792114257812
map19,2.0,2.0,112.59924240491749,1.149925708770752
map49,1.5,1.5,90.1850288425444,1.4297184944152832
map49,1.5,2.0,90.1850288425444,1.5749471187591553
map49,2.0,1.5,91.49873734152915,0.9234175682067871
map49,2.0,2.0,91.49873734152915,1.225280523300171
map08,1.5,1.5,108.6850288425444,1.5875563621520996
map08,1.5,2.0,131.98275605729688,1.1244025230407715
map08,2.0,1.5,108.6850288425444,1.3826355934143066
map08,2.0,2.0,108.6850288425444,1.3784654140472412
map15,1.5,1.5,81.29594154601838,0.7260124683380127
map15,1.5,2.0,81.29594154601838,0.7424781322479248
map15,2.0,1.5,81.29594154601838,0.40831685066223145
map15,2.0,2.0,81.29594154601838,0.4467489719390869
map41,1.5,1.5,72.06307716974936,0.5546360015869141
map41,1.5,2.0,72.06307716974936,0.5489590167999268
map41,2.0,1.5,72.06307716974936,0.3725128173828125
map41,2.0,2.0,72.06307716974936,0.37395429611206055
map06,1.5,1.5,138.10076656851993,2.095623731613159
map06,1.5,2.0,176.81854249492386,1.5519330501556396
map06,2.0,1.5,139.2502615051316,1.9252312183380127
map06,2.0,2.0,139.2502615051316,1.92384672164917
map18,1.5,1.5,131.35533905932732,0.7611145973205566
map18,1.5,2.0,131.35533905932732,0.27780628204345703
map18,2.0,1.5,121.99137802864841,0.8084299564361572
map18,2.0,2.0,123.28427124746186,0.5755596160888672
map24,1.5,1.5,100.2756492761103,2.036113977432251
map24,1.5,2.0,127.75230867899727,1.5860631465911865
map24,2.0,1.5,100.50788232314393,1.4576144218444824
map24,2.0,2.0,100.50788232314393,1.5684151649475098
